date;temperature;precipitation;snowfraction;sealevelpressure;winddirection;windspeed;relativehumidity;sunshinetime;totalcloudcover;lowclouds;midclouds;highclouds
1483228800;1.72;;;1032;180;0.8;58;;;;;
1483232400;1.71;;;1032;180;1.1;56;;;;;
1483236000;1.9;;;1030;189;1.32;53;;;;;
1483239600;2.01;;;1030;184;1.3;53;;;;;
1483243200;1.9;;;1030;196;1.46;52;;;;;
1483246800;2.05;;;1029;200;1.49;51;;;;;
1483250400;2.13;;;1028;210;1.39;50;;;;;
1483254000;2.14;;;1028;209;1.25;49;43;;;;
1483257600;2.53;;;1028;201;1.39;46;60;;;;
1483261200;3.3;;;1027;207;1.34;42;60;;;;
1483264800;3.71;;;1027;228;1.49;54;60;;;;
1483268400;4.41;;;1026;238;1.89;62;60;;;;
1483272000;4.42;;;1023;250;1.17;61;60;;;;
1483275600;5.41;;;1023;257;1.33;61;60;;;;
1483279200;5.7;;;1022;247;0.76;62;60;;;;
1483282800;5.68;;;1022;204;0.98;58;60;;;;
1483286400;5.24;;;1023;194;1.65;54;41;;;;
1483290000;4.32;;;1022;186;1.81;50;;;;;
1483293600;3.58;;;1022;197;1.68;44;;;;;
1483297200;3.27;;;1023;207;1.79;43;;;;;
1483300800;2.93;;;1023;212;1.89;54;;;;;
1483304400;2.91;;;1023;211;2.11;56;;;;;
1483308000;2.87;;;1023;219;2.2;56;;;;;
1483311600;2.46;;;1024;227;2.19;59;;;;;
1483315200;2.05;;;1023;231;2.06;60;;;;;
1483318800;1.45;;;1024;238;1.89;62;;;;;
1483322400;0.73;;;1023;240;1.97;64;;;;;
1483326000;-0.03;;;1024;234;1.72;68;;;;;
1483329600;-0.53;;;1024;237;1.66;72;;;;;
1483333200;-0.94;;;1024;246;1.75;76;;;;;
1483336800;-1.26;;;1024;251;1.8;81;;;;;
1483340400;-1.43;;;1025;239;1.75;84;41;4;4;;
1483344000;-0.95;;;1026;229;2.13;84;56;6;6;;14
1483347600;0.95;;;1026;240;2.42;80;;100;100;38;56
1483351200;1.9;;;1025;258;3.37;76;41;29;17;29;29
1483354800;2.71;;;1025;250;3.51;76;31;45;2;45;16
1483358400;3.5;;;1024;270;4.5;69;;100;;100;25
1483362000;4.03;;;1024;271;4.9;67;;100;;100;34
1483365600;3.8;;;1023;280;4.98;69;;100;100;100;37
1483369200;2.19;0.8;1;1025;297;5.05;81;;100;100;100;78
1483372800;0.32;1.3;1;1027;301;3.28;94;;100;100;100;30
1483376400;-0.03;1.6;1;1027;338;2.92;95;;100;100;100;
1483380000;-0.57;1.3;1;1028;5;3.31;95;;100;100;100;
1483383600;-1.04;0.6;1;1029;8;3.03;95;;100;100;100;
1483387200;-0.87;;1;1030;65;1.43;93;;100;100;33;
1483390800;-1.32;;;1031;69;0.85;97;;100;100;;
1483394400;-0.75;;1;1031;90;0.3;88;;100;100;;
1483398000;-0.98;;1;1031;18;0.32;87;;100;100;;
1483401600;-2.05;;1;1031;333;0.89;96;;100;100;;
1483405200;-2.44;;1;1032;326;1.08;96;;100;100;;
1483408800;-2.58;;1;1031;324;0.86;96;;100;100;;
1483412400;-2.54;;1;1032;360;0.5;95;;100;100;;
1483416000;-3.08;;1;1033;31;0.58;95;;100;100;;
1483419600;-3.38;;1;1032;68;0.54;94;;100;100;;
1483423200;-3.25;;1;1033;108;0.32;93;;100;100;;
1483426800;-3.38;;1;1033;180;0.2;93;;100;100;;
1483430400;-3.16;;1;1034;236;0.36;93;;100;100;;
1483434000;-1.23;;1;1034;225;0.14;71;;100;100;;
1483437600;-0.52;;;1034;180;0.2;71;60;;;;
1483441200;0.24;;;1033;217;0.5;71;60;;;;
1483444800;-0.56;;;1030;90;0.1;80;60;;;;
1483448400;-0.43;;;1030;194;0.41;83;60;;;;
1483452000;-0.99;;;1029;207;1.57;81;60;;;;
1483455600;-1.14;;;1029;216;2.36;84;60;;;;
1483459200;-2.49;;;1030;227;3.54;88;43;;;;
1483462800;-4.25;;;1030;210;4.17;94;;;;;
1483466400;-4.28;;;1030;211;4.53;92;;;;;
1483470000;-3.93;;;1030;214;4.83;88;;;;;
1483473600;-3.92;;;1030;213;4.91;87;;;;;
1483477200;-3.91;;;1030;218;5.06;84;;1;;;2
1483480800;-4.16;;;1029;230;4.97;80;;3;;3;4
1483484400;-4.29;;;1029;235;5.1;76;;41;;41;13
1483488000;-4.12;;;1029;244;5.68;79;;95;17;95;13
1483491600;-2.82;;;1029;255;5.8;84;;100;100;100;18
1483495200;-2.03;;;1028;256;7.11;83;;100;100;100;20
1483498800;-1.92;;;1027;258;6.96;82;;100;100;100;48
1483502400;-1.62;;;1027;260;7.1;86;;100;100;100;100
1483506000;-1;;;1026;231;6.61;85;;100;100;100;100
1483509600;-0.75;;;1025;237;8.54;84;;100;100;100;41
1483513200;-1.03;;;1025;240;9.5;83;;100;100;100;6
1483516800;-0.68;;;1025;251;10.59;78;;100;100;24;
1483520400;0.27;;;1024;253;11.73;77;;100;100;47;
1483524000;0.59;;;1025;256;12.47;77;;100;100;62;
1483527600;0.93;;1;1024;256;13.8;78;;100;100;100;1
1483531200;0.78;0.2;1;1021;265;12.64;81;;100;100;100;100
1483534800;0.32;0.2;1;1021;266;11.12;94;;100;100;100;100
1483538400;0.76;0.1;1;1020;265;11.95;93;;100;100;20;
1483542000;0.61;;1;1020;270;12.2;93;;100;100;;
1483545600;0.02;;1;1021;273;12.21;95;;100;100;;
1483549200;-0.42;;1;1021;274;12.84;94;;100;100;7;
1483552800;-0.67;;1;1021;277;13.21;94;;100;100;4;
1483556400;-0.53;;1;1021;282;13.08;94;;100;100;4;
1483560000;-0.33;;1;1022;287;11.9;95;;100;100;1;
1483563600;-0.41;;1;1022;287;10.88;97;;100;100;;
1483567200;-0.8;;1;1022;291;10.79;97;;100;100;2;
1483570800;-1.43;;;1022;291;10.2;96;;35;14;35;
1483574400;-1.35;;;1023;291;11.46;95;;100;87;100;
1483578000;-1.02;;1;1023;299;11.68;95;;100;100;93;
1483581600;-1.14;;;1023;316;9.55;94;;100;100;100;
1483585200;-2.59;;;1025;331;6.18;91;;63;;63;
1483588800;-2.59;;;1026;338;6.05;83;;;;;
1483592400;-3.04;;;1027;332;5.55;84;;35;35;;
1483596000;-3.26;;;1028;331;5.51;82;;;;;
1483599600;-3.59;;;1029;341;5.72;84;34;20;20;;
1483603200;-3.33;;;1030;335;4.43;84;60;;;;
1483606800;-2.76;;;1032;323;4.28;82;54;10;10;;
1483610400;-1.98;;;1032;332;4.96;69;26;54;54;;
1483614000;-1.63;;;1032;334;5.01;63;39;33;33;;
1483617600;-0.83;;;1027;7;8.16;68;30;47;47;;
1483621200;-0.99;;;1028;2;9.21;64;;100;100;;
1483624800;-1.83;;;1029;1;7.9;67;60;;;;
1483628400;-2.77;;;1031;5;6.73;74;54;10;10;;
1483632000;-2.84;;;1033;16;6.04;79;;100;100;;
1483635600;-3.28;;;1034;20;4.9;82;;100;100;;
1483639200;-3.53;;;1034;22;4.22;83;;100;100;;
1483642800;-3.37;;;1036;29;4.34;78;;100;100;;
1483646400;-3.83;;;1037;38;3.92;82;;100;100;;
1483650000;-4.02;;;1038;46;3.75;82;;100;100;;
1483653600;-3.95;;;1038;57;3.33;77;;100;100;;
1483657200;-5.34;;;1038;79;2.65;82;;;;;
1483660800;-6.27;;;1039;121;2.11;90;;;;;
1483664400;-6.78;;;1040;140;2.34;90;;;;;
1483668000;-7.08;;;1040;145;1.58;92;;;;;
1483671600;-7;;1;1040;143;1;94;;;;;
